type,id,lat,lon,tags/crossing,tags/crossing:island,tags/crossing:markings,tags/highway,tags/button_operated,tags/tactile_paving,tags/kerb,tags/crossing:signals,tags/bicycle,tags/source,tags/traffic_signals:sound,tags/traffic_signals:vibration,tags/traffic_calming,tags/crossing_ref,tags/foot,tags/traffic_signals,tags/check_date:crossing,tags/check_date:tactile_paving,tags/check_date:traffic_signals:vibration,tags/check_date:traffic_signals:sound,tags/traffic_signals:direction,tags/surface,tags/direction,tags/wheelchair,tags/level,tags/panoramax,tags/lit,bounds/minlat,bounds/minlon,bounds/maxlat,bounds/maxlon,nodes/0,nodes/1,geometry/0/lat,geometry/0/lon,geometry/1/lat,geometry/1/lon,tags/footway,nodes/2,nodes/3,geometry/2/lat,geometry/2/lon,geometry/3/lat,geometry/3/lon,tags/smoothness,tags/name,tags/name:etymology:wikidata,tags/ref,nodes/4,nodes/5,geometry/4/lat,geometry/4/lon,geometry/5/lat,geometry/5/lon,tags/check_date:surface,tags/cycleway:surface,tags/footway:surface,tags/segregated,nodes/6,nodes/7,geometry/6/lat,geometry/6/lon,geometry/7/lat,geometry/7/lon,tags/covered,tags/layer,tags/oneway,tags/separated,nodes/8,nodes/9,geometry/8/lat,geometry/8/lon,geometry/9/lat,geometry/9/lon,tags/horse,tags/tunnel,tags/lanes,tags/width,tags/motor_vehicle,tags/motorcycle,tags/check_date:smoothness,tags/check_date,tags/construction,tags/area,tags/fixme
way,476018278,,,zebra,,,footway,,,,,,,,,,,,,,,,,,asphalt,,,,,yes,44.4950478,11.3259706,44.4950715,11.3261229,4696834659,4696834660,44.4950478,11.3261229,44.4950578,11.3260559,crossing,4696834661,,44.4950715,11.3259706,,,excellent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,476018280,,,zebra,,,footway,,,,,,,,,,,,,,,,,,asphalt,,,,,,44.4951214,11.3253135,44.4951364,11.3254724,4696834664,4696834665,44.4951214,11.3254724,44.4951297,11.3253986,crossing,4696834666,,44.4951364,11.3253135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,476018282,,,zebra,,,footway,,,,,,,,,,,,,,,,,,paving_stones,,,,,yes,44.495489,11.3207906,44.4955166,11.3210315,4696834683,4696834684,44.4955166,11.3210315,44.4954942,11.3208504,crossing,10875635397,,44.495489,11.3207906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,476018284,,,zebra,,,footway,,,,,,,,,,,,,,,,,,,,,,,yes,44.4955248,11.3212964,44.4955821,11.3212979,3727347974,4696835289,44.4955821,11.3212964,44.4955579,11.3212979,crossing,4696835290,,44.4955248,11.3212979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,476020989,,,zebra,,,footway,,,,,,,,,,,,,,,,,,asphalt,,,,,yes,44.4938191,11.3284146,44.4938432,11.3285435,12439879062,4696851778,44.4938191,11.3284146,44.4938337,11.3284872,crossing,12439879061,,44.4938432,11.3285435,,,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,476020991,,,zebra,,,footway,,,,,,,,,,,,,,,,,,asphalt,,,,,yes,44.4937149,11.328398,44.4938031,11.3284266,12439879063,10871270606,44.4938031,11.328398,44.493765,11.328409,crossing,12439879064,,44.4937149,11.3284266,,,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,481386596,,,zebra,,,footway,,,,,,,,,,,,,,,,,,asphalt,,,,,yes,44.4775537,11.3600429,44.4776497,11.3601133,4743254675,4743254676,44.4775537,11.3600429,44.4776116,11.3600839,crossing,4743254677,,44.4776497,11.3601133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,481386597,,,zebra,,,footway,,,,,,,,,,,,,,,,,,asphalt,,,,,yes,44.4776947,11.3600367,44.4777294,11.3601153,4743254678,4743254679,44.4776947,11.3601153,44.4777111,11.3600823,crossing,4743254680,,44.4777294,11.3600367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,481387786,,,,,,footway,,,,,,,,,,,,,,,,,,asphalt,,,,,yes,44.4848353,11.3559522,44.484926,11.3560904,3060882682,2630450764,44.4848353,11.3559522,44.484865,11.3559949,crossing,4743266716,,44.484926,11.3560904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,481388708,,,unmarked,no,no,footway,,no,,,,,,,,,,,,,,,,asphalt,,,,,,44.4848854,11.3532698,44.484898,11.3533699,3060882672,3060843444,44.484898,11.3532698,44.4848916,11.3533208,crossing,3060882690,,44.4848854,11.3533699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,481388712,,,zebra,,,footway,,,,,,,,,,,,,,,,,,asphalt,,,,,yes,44.4852518,11.3502776,44.4852672,11.3504054,4743277605,4743277599,44.4852672,11.3502776,44.4852612,11.3503297,crossing,4743277604,,44.4852518,11.3504054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,481388713,,,zebra,,,footway,,,,,,,,,,,,,,,,,,asphalt,,,,,yes,44.4854005,11.3489949,44.4854165,11.349118,4743277606,4743277601,44.4854165,11.3489949,44.4854091,11.3490516,crossing,4743277600,,44.4854005,11.349118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,541316713,,,traffic_signals,no,zebra,footway,,no,,,,,,,,,,,,,,,,asphalt,,,,,yes,44.4938681,11.3107666,44.4940213,11.3107957,8095039539,10876002100,44.4938681,11.3107957,44.4939591,11.3107766,crossing,5234582737,,44.4940213,11.3107666,,,good,,,,,,,,,,,,,,,,,,,,colonnade,,,,,,,,,,,,,,,,,,,,
way,579897435,,,uncontrolled,,zebra,footway,,,,,,,,,,,,,,,,,,asphalt,,,,,yes,44.4945475,11.3438278,44.4945706,11.3439633,10775541682,5552773199,44.4945475,11.3439633,44.4945579,11.3439062,crossing,4317179513,,44.4945706,11.3438278,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,
way,585918821,,,zebra,,,footway,,,,,,,,,,,,,,,,,,asphalt,,,,,yes,44.5052767,11.3429061,44.5052971,11.3430644,1628371702,1628371747,44.5052767,11.3430644,44.5052909,11.3429538,crossing,1628371776,,44.5052971,11.3429061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
